Filename,Method,Timesteps,Density,R-precision (Top 3),FID,Diversity,Traj. err (50 cm),Loc. err (50 cm),Avg. err
density100_dpm3_nfe50.log,DPM3,50,100,0.8184,0.3944,10.1289,0.2129,0.0752,0.1769
density5_dpm3_nfe50.log,DPM3,50,5,0.8154,0.4424,10.1407,0.2773,0.1387,0.2428
density25_ddim500.log,DDIM,500,25,0.8184,0.2998,9.7716,0.0703,0.0139,0.0572
density2_ddim500.log,DDIM,500,2,0.7959,0.4358,9.9108,0.3164,0.2305,0.3862
density5_ddim500.log,DDIM,500,5,0.8145,0.3687,9.8105,0.0488,0.0139,0.0445
density5_dpm3_nfe100.log,DPM3,100,5,0.8125,0.419,10.1236,0.2793,0.1375,0.2536
density25_dpm2_nfe100.log,DPM2,100,25,0.8105,0.3713,10.1998,0.2285,0.0811,0.1819
density100_ddim500.log,DDIM,500,100,0.8047,0.3198,9.8128,0.0645,0.0121,0.0577
density1_ddim100.log,DDIM,100,1,0.793,0.4284,9.671,0.0,0.0,0.0064
density25_dpm3_nfe250.log,DPM3,250,25,0.8125,0.3288,10.1361,0.0703,0.0113,0.0567
density25_dpm3_nfe500.log,DPM3,500,25,0.8115,0.3256,10.1139,0.0664,0.0121,0.0561
density1_ddim500.log,DDIM,500,1,0.8018,0.3956,9.8267,0.001,0.001,0.0069
density25_dpm2_nfe20.log,DPM2,20,25,0.7998,0.4694,10.1915,0.2217,0.0749,0.1759
density5_1000.log,,,5,0.8145,0.3759,9.8159,0.0469,0.0137,0.0435
density5.log,,,5,0.8145,0.3283,9.7683,0.0586,0.0154,0.0417
density100_dpm2_nfe75.log,DPM2,75,100,0.8174,0.3746,10.108,0.2129,0.0752,0.1788
density5_dpm3_nfe500.log,DPM3,500,5,0.8037,0.3776,10.032,0.0596,0.0186,0.0502
density100_dpm3_nfe100.log,DPM3,100,100,0.8135,0.3647,10.1023,0.2139,0.0756,0.1805
density100_ddim20.log,DDIM,20,100,0.7139,2.5676,8.6642,0.1621,0.0426,0.1113
density25_dpm2_nfe50.log,DPM2,50,25,0.8135,0.3833,10.188,0.2246,0.0768,0.1777
density25_ddim50.log,DDIM,50,25,0.8076,0.3537,9.5586,0.1006,0.02,0.0675
density1_dpm2_nfe75.log,DPM2,75,1,0.7939,0.465,10.1952,0.1621,0.1621,0.2809
density100_ddim5.log,DDIM,5,100,0.374,24.7267,5.6327,0.3672,0.1477,0.2473
density1_dpm3_nfe100.log,DPM3,100,1,0.7891,0.4453,10.1701,0.1631,0.1631,0.2755
density25_dpm3_nfe100.log,DPM3,100,25,0.8105,0.3703,10.2002,0.2295,0.0813,0.1823
density5_dpm2_nfe500.log,DPM2,500,5,0.8047,0.3778,10.0318,0.0605,0.0186,0.0503
density25_dpm3_nfe50.log,DPM3,50,25,0.8125,0.3818,10.1874,0.2246,0.077,0.1779
density1_dpm3_nfe500.log,DPM3,500,1,0.7842,0.3368,10.0578,0.0029,0.0029,0.0109
density100_dpm2_nfe500.log,DPM2,500,100,0.8125,0.3268,10.0249,0.0713,0.012,0.058
density25_dpm2_nfe75.log,DPM2,75,25,0.8096,0.3795,10.1915,0.2305,0.0805,0.1804
density25_ddim250.log,DDIM,250,25,0.8203,0.302,9.7494,0.0752,0.0132,0.056
density25_dpm3_nfe75.log,DPM3,75,25,0.8105,0.3782,10.1917,0.2314,0.0806,0.1807
density1_ddim50.log,DDIM,50,1,0.752,0.9757,9.4217,0.001,0.001,0.0084
density1_ddim20.log,DDIM,20,1,0.5732,6.474,8.2088,0.0088,0.0088,0.0206
density1_dpm3_nfe50.log,DPM3,50,1,0.792,0.5036,10.232,0.1689,0.1689,0.2837
density1_dpm3_nfe75.log,DPM3,75,1,0.792,0.4642,10.1946,0.1631,0.1631,0.2814
density25_1000.log,,,25,0.8193,0.3074,9.7845,0.0791,0.0149,0.059
density1_ddim250.log,DDIM,250,1,0.7998,0.396,9.8295,0.0,0.0,0.0063
density5_dpm3_nfe250.log,DPM3,250,5,0.8066,0.3735,10.0354,0.0684,0.0215,0.0526
density100_dpm3_nfe250.log,DPM3,250,100,0.8145,0.3252,10.0418,0.0752,0.0117,0.0589
density25_dpm2_nfe250.log,DPM2,250,25,0.8125,0.3294,10.1335,0.0703,0.0113,0.0567
density25.log,,,25,0.8125,0.3006,9.8046,0.0703,0.013,0.0575
density100_ddim250.log,DDIM,250,100,0.8066,0.3107,9.7867,0.0605,0.0109,0.0569
density25_ddim20.log,DDIM,20,25,0.6836,3.2819,8.6388,0.1895,0.0491,0.1133
density1.log,,,1,0.7842,0.4626,9.7586,0.002,0.002,0.0089
density25_ddim100.log,DDIM,100,25,0.8232,0.2876,9.7454,0.0791,0.0125,0.056
density100_1000.log,,,100,0.8057,0.3382,9.795,0.0586,0.0134,0.0593
density100.log,,,100,0.8145,0.3044,9.7277,0.0596,0.0099,0.0572
density5_ddim100.log,DDIM,100,5,0.8154,0.3219,9.7238,0.0498,0.0158,0.0455
density5_dpm2_nfe75.log,DPM2,75,5,0.8145,0.421,10.1356,0.2793,0.1373,0.2491
density5_ddim250.log,DDIM,250,5,0.8125,0.3499,9.822,0.0479,0.0139,0.0443
density100_ddim50.log,DDIM,50,100,0.7939,0.3665,9.6019,0.0967,0.0176,0.0676
density1_dpm3_nfe250.log,DPM3,250,1,0.7832,0.3508,10.0623,0.0039,0.0039,0.0137
density1_dpm2_nfe500.log,DPM2,500,1,0.7822,0.337,10.0546,0.0029,0.0029,0.0107
